match_id,date_utc,name,season_slug,group,alt_game_note,status_name,status_desc,completed,home_team_id,home_team,home_abbrev,home_logo,home_color,home_score,home_form,away_team_id,away_team,away_abbrev,away_logo,away_color,away_score,away_form
760423,2026-06-14T23:00Z,Ecuador at Ivory Coast,group-stage,E,"FIFA World Cup, Group E",STATUS_FULL_TIME,Full Time,True,4789,Ivory Coast,CIV,https://a.espncdn.com/i/teamlogos/countries/500/civ.png,FF8200,1,WLWWW,209,Ecuador,ECU,https://a.espncdn.com/i/teamlogos/countries/500/ecu.png,ffdd00,0,WDLWW
760424,2026-06-15T02:00Z,Tunisia at Sweden,group-stage,F,"FIFA World Cup, Group F",STATUS_FULL_TIME,Full Time,True,466,Sweden,SWE,https://a.espncdn.com/i/teamlogos/countries/500/swe.png,fecb00,5,DLWDL,659,Tunisia,TUN,https://a.espncdn.com/i/teamlogos/countries/500/tun.png,D20300,1,LLLLL
760428,2026-06-15T16:00Z,Cape Verde at Spain,group-stage,H,"FIFA World Cup, Group H",STATUS_FULL_TIME,Full Time,True,164,Spain,ESP,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,c60b1e,0,WWDWD,2597,Cape Verde,CPV,https://a.espncdn.com/i/teamlogos/countries/500/cpv.png,000080,0,DDDWW
760426,2026-06-15T19:00Z,Egypt at Belgium,group-stage,G,"FIFA World Cup, Group G",STATUS_FULL_TIME,Full Time,True,459,Belgium,BEL,https://a.espncdn.com/i/teamlogos/countries/500/bel.png,E30613,1,WDDWW,2620,Egypt,EGY,https://a.espncdn.com/i/teamlogos/countries/500/egy.png,D20300,1,DWDLW
760429,2026-06-15T22:00Z,Uruguay at Saudi Arabia,group-stage,H,"FIFA World Cup, Group H",STATUS_FULL_TIME,Full Time,True,655,Saudi Arabia,KSA,https://a.espncdn.com/i/teamlogos/countries/500/ksa.png,FFFFFF,1,DLDDW,212,Uruguay,URU,https://a.espncdn.com/i/teamlogos/countries/500/uru.png,55B5E5,1,LDDDD
760427,2026-06-16T01:00Z,New Zealand at Iran,group-stage,G,"FIFA World Cup, Group G",STATUS_FULL_TIME,Full Time,True,469,Iran,IRN,https://a.espncdn.com/i/teamlogos/countries/500/irn.png,FFFFFF,2,DDDWW,2666,New Zealand,NZL,https://a.espncdn.com/i/teamlogos/countries/500/nzl.png,000000,2,LLDLL
760432,2026-06-16T19:00Z,Senegal at France,group-stage,I,"FIFA World Cup, Group I",STATUS_FULL_TIME,Full Time,True,478,France,FRA,https://a.espncdn.com/i/teamlogos/countries/500/fra.png,000080,3,WWWWL,654,Senegal,SEN,https://a.espncdn.com/i/teamlogos/countries/500/sen.png,FFFFFF,1,WLLDL
760430,2026-06-16T22:00Z,Norway at Iraq,group-stage,I,"FIFA World Cup, Group I",STATUS_FULL_TIME,Full Time,True,4375,Iraq,IRQ,https://a.espncdn.com/i/teamlogos/countries/500/irq.png,FFFFFF,1,LLLLD,464,Norway,NOR,https://a.espncdn.com/i/teamlogos/countries/500/nor.png,C8102E,4,LWWDW
760433,2026-06-17T01:00Z,Algeria at Argentina,group-stage,J,"FIFA World Cup, Group J",STATUS_FULL_TIME,Full Time,True,202,Argentina,ARG,https://a.espncdn.com/i/teamlogos/countries/500/arg.png,74acdf,3,WWWWW,624,Algeria,ALG,https://a.espncdn.com/i/teamlogos/countries/500/alg.png,4F9A44,0,DWLWW
760431,2026-06-17T04:00Z,Jordan at Austria,group-stage,J,"FIFA World Cup, Group J",STATUS_FULL_TIME,Full Time,True,474,Austria,AUT,https://a.espncdn.com/i/teamlogos/countries/500/aut.png,d72b2c,3,DLWWW,2917,Jordan,JOR,https://a.espncdn.com/i/teamlogos/countries/500/jor.png,E70000,1,LLLLL
760435,2026-06-17T17:00Z,Congo DR at Portugal,group-stage,K,"FIFA World Cup, Group K",STATUS_FULL_TIME,Full Time,True,482,Portugal,POR,https://a.espncdn.com/i/teamlogos/countries/500/por.png,da291c,1,DWDWW,2850,Congo DR,COD,https://a.espncdn.com/i/teamlogos/countries/500/rdc.png,418fde,1,WLDLD
760437,2026-06-17T20:00Z,Croatia at England,group-stage,L,"FIFA World Cup, Group L",STATUS_FULL_TIME,Full Time,True,448,England,ENG,https://a.espncdn.com/i/teamlogos/countries/500/eng.png,ffffff,4,WDWWW,477,Croatia,CRO,https://a.espncdn.com/i/teamlogos/countries/500/cro.png,ff0000,2,WWLWL
760434,2026-06-17T23:00Z,Panama at Ghana,group-stage,L,"FIFA World Cup, Group L",STATUS_FULL_TIME,Full Time,True,4469,Ghana,GHA,https://a.espncdn.com/i/teamlogos/countries/500/gha.png,fbd632,1,LDWDL,2659,Panama,PAN,https://a.espncdn.com/i/teamlogos/countries/500/pan.png,d21034,0,LLLDW
760436,2026-06-18T02:00Z,Colombia at Uzbekistan,group-stage,K,"FIFA World Cup, Group K",STATUS_FULL_TIME,Full Time,True,2570,Uzbekistan,UZB,https://a.espncdn.com/i/teamlogos/countries/500/uzb.png,ffffff,1,LLLLL,208,Colombia,COL,https://a.espncdn.com/i/teamlogos/countries/500/col.png,fbd632,3,DWWWW
760438,2026-06-18T16:00Z,South Africa at Czechia,group-stage,A,"FIFA World Cup, Group A",STATUS_FULL_TIME,Full Time,True,450,Czechia,CZE,https://a.espncdn.com/i/teamlogos/countries/500/cze.png,d7141a,1,LDLWW,467,South Africa,RSA,https://a.espncdn.com/i/teamlogos/countries/500/rsa.png,FFB81C,1,LWDLW
760439,2026-06-18T19:00Z,Bosnia-Herzegovina at Switzerland,group-stage,B,"FIFA World Cup, Group B",STATUS_FULL_TIME,Full Time,True,475,Switzerland,SUI,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,FF0000,4,WWDDW,452,Bosnia-Herzegovina,BIH,https://a.espncdn.com/i/teamlogos/countries/500/bih.png,112855,1,WLDDD
760440,2026-06-18T22:00Z,Qatar at Canada,group-stage,B,"FIFA World Cup, Group B",STATUS_FULL_TIME,Full Time,True,206,Canada,CAN,https://a.espncdn.com/i/teamlogos/countries/500/can.png,ed2224,6,WLWDD,4398,Qatar,QAT,https://a.espncdn.com/i/teamlogos/countries/500/qat.png,691a40,0,LLDDL
